respondent_id,target_week,current_week,weeks_observed,target_date,next_week_income,next_week_direction,current_income,lag_1_income,lag_2_income,lag_3_income,has_lag_2,has_lag_3,rolling_mean_income,rolling_std_income,rolling_min_income,rolling_max_income,rolling_range_income,income_trend_abs,income_trend_pct,last_income_change_abs,last_income_change_pct,previous_direction,is_previous_week_up,is_previous_week_down,is_previous_week_stable,target_month,target_week_of_month,target_quarter,target_is_month_start,target_is_month_end,target_is_payday_period,target_is_weekend,target_is_christmas_year_end,target_is_new_year,gig_type_enc,domisili_code_enc,usia,experience_months_log,hari_kerja_per_minggu,jam_kerja_per_hari,total_jam_seminggu,bps_jasa_weekly,status_income,peak_week,src_fiverr,src_gojek,src_grab,src_instagram,src_langsung,src_shopee,src_tiktok,src_tokopedia,src_upwork,src_whatsapp,ramai_akhir_bulan_gajian,ramai_akhir_pekan,ramai_awal_bulan,ramai_harbolnas_flashsale,ramai_promo_aplikasi,ramai_ramadan_lebaran,fluk_akhir_pekan_hari_libur,fluk_cuaca,fluk_jam_kerja,fluk_jumlah_pesanan_project,fluk_kondisi_fisik,fluk_promo_aplikasi,fluk_rating_ulasan,fluk_tanggal_gajian_akhir_bulan,pref_awal_bulan,pref_harbolnas,pref_payday,pref_promo_aplikasi,pref_ramadan_lebaran,pref_weekend,previous_direction_enc
R0167,2,1,1,2026-04-28 13:44:20,355000.0,Stable,360000.0,360000.0,0.0,0.0,0,0,360000.0,0.0,360000.0,360000.0,0.0,0.0,0.0,0.0,0.0,Stable,0,0,1,4,4,2,0,1,1,0,0,0,2,0,33,3.044522437723423,6,7,42,518297.0,1,4,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1
R0167,3,2,2,2026-04-21 13:44:20,325000.0,Down,355000.0,355000.0,360000.0,0.0,1,0,357500.0,2500.0,355000.0,360000.0,5000.0,-5000.0,-0.013888888888888888,-5000.0,-0.013888888888888888,Stable,0,0,1,4,3,2,0,0,0,0,0,0,2,0,33,3.044522437723423,6,7,42,518297.0,1,4,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1
R0167,4,3,3,2026-04-14 13:44:20,425000.0,Up,325000.0,325000.0,355000.0,360000.0,1,1,346666.6666666667,15456.030825826174,325000.0,360000.0,35000.0,-30000.0,-0.08450704225352113,-30000.0,-0.08450704225352113,Down,0,1,0,4,2,2,0,0,0,0,0,0,2,0,33,3.044522437723423,6,7,42,518297.0,1,4,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0
R0168,2,1,1,2026-04-28 14:24:12,650000.0,Down,700000.0,700000.0,0.0,0.0,0,0,700000.0,0.0,700000.0,700000.0,0.0,0.0,0.0,0.0,0.0,Stable,0,0,1,4,4,2,0,1,1,0,0,0,0,5,28,3.2188758248682006,3,4,12,550782.7152777778,2,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1
R0168,3,2,2,2026-04-21 14:24:12,615000.0,Down,650000.0,650000.0,700000.0,0.0,1,0,675000.0,25000.0,650000.0,700000.0,50000.0,-50000.0,-0.07142857142857142,-50000.0,-0.07142857142857142,Down,0,1,0,4,3,2,0,0,0,0,0,0,0,5,28,3.2188758248682006,3,4,12,550782.7152777778,2,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0
R0168,4,3,3,2026-04-14 14:24:12,625000.0,Stable,615000.0,615000.0,650000.0,700000.0,1,1,655000.0,34880.74922742725,615000.0,700000.0,85000.0,-35000.0,-0.05384615384615385,-35000.0,-0.05384615384615385,Down,0,1,0,4,2,2,0,0,0,0,0,0,0,5,28,3.2188758248682006,3,4,12,550782.7152777778,2,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0
R0169,2,1,1,2026-04-28 14:44:40,720000.0,Up,325000.0,325000.0,0.0,0.0,0,0,325000.0,0.0,325000.0,325000.0,0.0,0.0,0.0,0.0,0.0,Stable,0,0,1,4,4,2,0,1,1,0,0,0,1,1,31,3.828641396489095,7,10,70,739240.8333333334,2,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
R0169,3,2,2,2026-04-21 14:44:40,490000.0,Down,720000.0,720000.0,325000.0,0.0,1,0,522500.0,197500.0,325000.0,720000.0,395000.0,395000.0,1.2153846153846153,395000.0,1.2153846153846153,Up,1,0,0,4,3,2,0,0,0,0,0,0,1,1,31,3.828641396489095,7,10,70,739240.8333333334,2,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2
R0169,4,3,3,2026-04-14 14:44:40,765000.0,Up,490000.0,490000.0,720000.0,325000.0,1,1,511666.6666666667,161984.22419757082,325000.0,720000.0,395000.0,-230000.0,-0.3194444444444444,-230000.0,-0.3194444444444444,Down,0,1,0,4,2,2,0,0,0,0,0,0,1,1,31,3.828641396489095,7,10,70,739240.8333333334,2,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
R0170,2,1,1,2026-04-28 14:47:37,330000.0,Up,310000.0,310000.0,0.0,0.0,0,0,310000.0,0.0,310000.0,310000.0,0.0,0.0,0.0,0.0,0.0,Stable,0,0,1,4,4,2,0,1,1,0,0,0,0,3,29,2.833213344056216,5,5,25,460955.5,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1
R0170,3,2,2,2026-04-21 14:47:37,210000.0,Down,330000.0,330000.0,310000.0,0.0,1,0,320000.0,10000.0,310000.0,330000.0,20000.0,20000.0,0.06451612903225806,20000.0,0.06451612903225806,Up,1,0,0,4,3,2,0,0,0,0,0,0,0,3,29,2.833213344056216,5,5,25,460955.5,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,2
R0170,4,3,3,2026-04-14 14:47:37,250000.0,Up,210000.0,210000.0,330000.0,310000.0,1,1,283333.3333333333,52493.385826745405,210000.0,330000.0,120000.0,-120000.0,-0.36363636363636365,-120000.0,-0.36363636363636365,Down,0,1,0,4,2,2,0,0,0,0,0,0,0,3,29,2.833213344056216,5,5,25,460955.5,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0
R0171,2,1,1,2026-04-28 15:01:42,310000.0,Down,340000.0,340000.0,0.0,0.0,0,0,340000.0,0.0,340000.0,340000.0,0.0,0.0,0.0,0.0,0.0,Stable,0,0,1,4,4,2,0,1,1,0,0,0,0,3,28,3.1354942159291497,4,3,12,460955.5,1,3,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1
R0171,3,2,2,2026-04-21 15:01:42,400000.0,Up,310000.0,310000.0,340000.0,0.0,1,0,325000.0,15000.0,310000.0,340000.0,30000.0,-30000.0,-0.08823529411764706,-30000.0,-0.08823529411764706,Down,0,1,0,4,3,2,0,0,0,0,0,0,0,3,28,3.1354942159291497,4,3,12,460955.5,1,3,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
R0171,4,3,3,2026-04-14 15:01:42,170000.0,Down,400000.0,400000.0,310000.0,340000.0,1,1,350000.0,37416.57386773941,310000.0,400000.0,90000.0,90000.0,0.2903225806451613,90000.0,0.2903225806451613,Up,1,0,0,4,2,2,0,0,0,0,0,0,0,3,28,3.1354942159291497,4,3,12,460955.5,1,3,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,2
R0172,2,1,1,2026-04-28 15:08:14,250000.0,Stable,260000.0,260000.0,0.0,0.0,0,0,260000.0,0.0,260000.0,260000.0,0.0,0.0,0.0,0.0,0.0,Stable,0,0,1,4,4,2,0,1,1,0,0,0,0,7,23,2.1972245773362196,5,10,50,517481.9375,2,4,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1
R0172,3,2,2,2026-04-21 15:08:14,350000.0,Up,250000.0,250000.0,260000.0,0.0,1,0,255000.0,5000.0,250000.0,260000.0,10000.0,-10000.0,-0.038461538461538464,-10000.0,-0.038461538461538464,Stable,0,0,1,4,3,2,0,0,0,0,0,0,0,7,23,2.1972245773362196,5,10,50,517481.9375,2,4,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1
R0172,4,3,3,2026-04-14 15:08:14,590000.0,Up,350000.0,350000.0,250000.0,260000.0,1,1,286666.6666666667,44969.125210773476,250000.0,350000.0,100000.0,100000.0,0.4,100000.0,0.4,Up,1,0,0,4,2,2,0,0,0,0,0,0,0,7,23,2.1972245773362196,5,10,50,517481.9375,2,4,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,2
R0173,2,1,1,2026-04-28 16:24:44,225000.0,Down,310000.0,310000.0,0.0,0.0,0,0,310000.0,0.0,310000.0,310000.0,0.0,0.0,0.0,0.0,0.0,Stable,0,0,1,4,4,2,0,1,1,0,0,0,2,7,32,2.70805020110221,5,6,30,517481.9375,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
R0173,3,2,2,2026-04-21 16:24:44,270000.0,Up,225000.0,225000.0,310000.0,0.0,1,0,267500.0,42500.0,225000.0,310000.0,85000.0,-85000.0,-0.27419354838709675,-85000.0,-0.27419354838709675,Down,0,1,0,4,3,2,0,0,0,0,0,0,2,7,32,2.70805020110221,5,6,30,517481.9375,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
R0173,4,3,3,2026-04-14 16:24:44,200000.0,Down,270000.0,270000.0,225000.0,310000.0,1,1,268333.3333333333,34721.111093332765,225000.0,310000.0,85000.0,45000.0,0.2,45000.0,0.2,Up,1,0,0,4,2,2,0,0,0,0,0,0,2,7,32,2.70805020110221,5,6,30,517481.9375,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2
R0174,2,1,1,2026-04-28 18:01:47,805000.0,Down,1130000.0,1130000.0,0.0,0.0,0,0,1130000.0,0.0,1130000.0,1130000.0,0.0,0.0,0.0,0.0,0.0,Stable,0,0,1,4,4,2,0,1,1,0,0,0,1,3,35,3.828641396489095,6,8,48,460955.5,2,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1
R0174,3,2,2,2026-04-21 18:01:47,770000.0,Stable,805000.0,805000.0,1130000.0,0.0,1,0,967500.0,162500.0,805000.0,1130000.0,325000.0,-325000.0,-0.28761061946902655,-325000.0,-0.28761061946902655,Down,0,1,0,4,3,2,0,0,0,0,0,0,1,3,35,3.828641396489095,6,8,48,460955.5,2,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
R0174,4,3,3,2026-04-14 18:01:47,925000.0,Up,770000.0,770000.0,805000.0,1130000.0,1,1,901666.6666666666,162087.0822188561,770000.0,1130000.0,360000.0,-35000.0,-0.043478260869565216,-35000.0,-0.043478260869565216,Stable,0,0,1,4,2,2,0,0,0,0,0,0,1,3,35,3.828641396489095,6,8,48,460955.5,2,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1
R0175,2,1,1,2026-04-28 18:30:59,360000.0,Down,670000.0,670000.0,0.0,0.0,0,0,670000.0,0.0,670000.0,670000.0,0.0,0.0,0.0,0.0,0.0,Stable,0,0,1,4,4,2,0,1,1,0,0,0,2,1,34,4.3694478524670215,6,10,60,739240.8333333334,2,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1
R0175,3,2,2,2026-04-21 18:30:59,475000.0,Up,360000.0,360000.0,670000.0,0.0,1,0,515000.0,155000.0,360000.0,670000.0,310000.0,-310000.0,-0.4626865671641791,-310000.0,-0.4626865671641791,Down,0,1,0,4,3,2,0,0,0,0,0,0,2,1,34,4.3694478524670215,6,10,60,739240.8333333334,2,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0
R0175,4,3,3,2026-04-14 18:30:59,420000.0,Down,475000.0,475000.0,360000.0,670000.0,1,1,501666.6666666667,127953.98478446157,360000.0,670000.0,310000.0,115000.0,0.3194444444444444,115000.0,0.3194444444444444,Up,1,0,0,4,2,2,0,0,0,0,0,0,2,1,34,4.3694478524670215,6,10,60,739240.8333333334,2,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,2
R0176,2,1,1,2026-04-28 18:58:10,225000.0,Up,18400.0,18400.0,0.0,0.0,0,0,18400.0,0.0,18400.0,18400.0,0.0,0.0,0.0,0.0,0.0,Stable,0,0,1,4,4,2,0,1,1,0,0,0,0,1,21,1.0986122886681096,3,5,15,739240.8333333334,0,4,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
R0176,3,2,2,2026-04-21 18:58:10,260000.0,Up,225000.0,225000.0,18400.0,0.0,1,0,121700.0,103300.0,18400.0,225000.0,206600.0,206600.0,11.228260869565217,206600.0,11.228260869565217,Up,1,0,0,4,3,2,0,0,0,0,0,0,0,1,21,1.0986122886681096,3,5,15,739240.8333333334,0,4,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2
R0176,4,3,3,2026-04-14 18:58:10,275000.0,Up,260000.0,260000.0,225000.0,18400.0,1,1,167800.0,106603.68974227237,18400.0,260000.0,241600.0,35000.0,0.15555555555555556,35000.0,0.15555555555555556,Up,1,0,0,4,2,2,0,0,0,0,0,0,0,1,21,1.0986122886681096,3,5,15,739240.8333333334,0,4,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2
R0177,2,1,1,2026-04-28 19:53:13,450000.0,Stable,450000.0,450000.0,0.0,0.0,0,0,450000.0,0.0,450000.0,450000.0,0.0,0.0,0.0,0.0,0.0,Stable,0,0,1,4,4,2,0,1,1,0,0,0,2,5,30,3.044522437723423,5,8,40,550782.7152777778,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1
R0177,3,2,2,2026-04-21 19:53:13,410000.0,Down,450000.0,450000.0,450000.0,0.0,1,0,450000.0,0.0,450000.0,450000.0,0.0,0.0,0.0,0.0,0.0,Stable,0,0,1,4,3,2,0,0,0,0,0,0,2,5,30,3.044522437723423,5,8,40,550782.7152777778,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1
R0177,4,3,3,2026-04-14 19:53:13,380000.0,Down,410000.0,410000.0,450000.0,450000.0,1,1,436666.6666666667,18856.180831641268,410000.0,450000.0,40000.0,-40000.0,-0.08888888888888889,-40000.0,-0.08888888888888889,Down,0,1,0,4,2,2,0,0,0,0,0,0,2,5,30,3.044522437723423,5,8,40,550782.7152777778,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0
R0178,2,1,1,2026-04-28 19:55:16,375000.0,Down,980000.0,980000.0,0.0,0.0,0,0,980000.0,0.0,980000.0,980000.0,0.0,0.0,0.0,0.0,0.0,Stable,0,0,1,4,4,2,0,1,1,0,0,0,0,4,27,2.0794415416798357,4,5,20,653189.75,2,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1
R0178,3,2,2,2026-04-21 19:55:16,860000.0,Up,375000.0,375000.0,980000.0,0.0,1,0,677500.0,302500.0,375000.0,980000.0,605000.0,-605000.0,-0.6173469387755102,-605000.0,-0.6173469387755102,Down,0,1,0,4,3,2,0,0,0,0,0,0,0,4,27,2.0794415416798357,4,5,20,653189.75,2,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0
R0178,4,3,3,2026-04-14 19:55:16,300000.0,Down,860000.0,860000.0,375000.0,980000.0,1,1,738333.3333333334,261544.5574955739,375000.0,980000.0,605000.0,485000.0,1.2933333333333332,485000.0,1.2933333333333332,Up,1,0,0,4,2,2,0,0,0,0,0,0,0,4,27,2.0794415416798357,4,5,20,653189.75,2,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,2
R0179,2,1,1,2026-04-28 20:44:17,370000.0,Up,275000.0,275000.0,0.0,0.0,0,0,275000.0,0.0,275000.0,275000.0,0.0,0.0,0.0,0.0,0.0,Stable,0,0,1,4,4,2,0,1,1,0,0,0,0,5,22,2.8903717578961645,6,5,30,550782.7152777778,1,4,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
R0179,3,2,2,2026-04-21 20:44:17,500000.0,Up,370000.0,370000.0,275000.0,0.0,1,0,322500.0,47500.0,275000.0,370000.0,95000.0,95000.0,0.34545454545454546,95000.0,0.34545454545454546,Up,1,0,0,4,3,2,0,0,0,0,0,0,0,5,22,2.8903717578961645,6,5,30,550782.7152777778,1,4,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2
R0179,4,3,3,2026-04-14 20:44:17,220000.0,Down,500000.0,500000.0,370000.0,275000.0,1,1,381666.6666666667,92225.56888171281,275000.0,500000.0,225000.0,130000.0,0.35135135135135137,130000.0,0.35135135135135137,Up,1,0,0,4,2,2,0,0,0,0,0,0,0,5,22,2.8903717578961645,6,5,30,550782.7152777778,1,4,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2
R0180,2,1,1,2026-04-28 20:47:26,200000.0,Down,270000.0,270000.0,0.0,0.0,0,0,270000.0,0.0,270000.0,270000.0,0.0,0.0,0.0,0.0,0.0,Stable,0,0,1,4,4,2,0,1,1,0,0,0,1,5,45,3.58351893845611,6,6,36,550782.7152777778,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
R0180,3,2,2,2026-04-21 20:47:26,225000.0,Up,200000.0,200000.0,270000.0,0.0,1,0,235000.0,35000.0,200000.0,270000.0,70000.0,-70000.0,-0.25925925925925924,-70000.0,-0.25925925925925924,Down,0,1,0,4,3,2,0,0,0,0,0,0,1,5,45,3.58351893845611,6,6,36,550782.7152777778,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
R0180,4,3,3,2026-04-14 20:47:26,250000.0,Up,225000.0,225000.0,200000.0,270000.0,1,1,231666.66666666666,28963.578661637945,200000.0,270000.0,70000.0,25000.0,0.125,25000.0,0.125,Up,1,0,0,4,2,2,0,0,0,0,0,0,1,5,45,3.58351893845611,6,6,36,550782.7152777778,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2
R0181,2,1,1,2026-04-28 20:56:15,875000.0,Up,790000.0,790000.0,0.0,0.0,0,0,790000.0,0.0,790000.0,790000.0,0.0,0.0,0.0,0.0,0.0,Stable,0,0,1,4,4,2,0,1,1,0,0,0,0,3,31,0.6931471805599453,5,9,45,460955.5,2,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1
R0181,3,2,2,2026-04-21 20:56:15,825000.0,Down,875000.0,875000.0,790000.0,0.0,1,0,832500.0,42500.0,790000.0,875000.0,85000.0,85000.0,0.10759493670886076,85000.0,0.10759493670886076,Up,1,0,0,4,3,2,0,0,0,0,0,0,0,3,31,0.6931471805599453,5,9,45,460955.5,2,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,2
R0181,4,3,3,2026-04-14 20:56:15,775000.0,Down,825000.0,825000.0,875000.0,790000.0,1,1,830000.0,34880.74922742725,790000.0,875000.0,85000.0,-50000.0,-0.05714285714285714,-50000.0,-0.05714285714285714,Down,0,1,0,4,2,2,0,0,0,0,0,0,0,3,31,0.6931471805599453,5,9,45,460955.5,2,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
