dataset_id,timestamp,tahun,bulan,tahun_bulan,tipe_transaksi,category,amount,metode_pembayaran,status_transaksi,sumber_file,source,hour,day_of_week,day_name,day_of_month,month,date_only,is_weekend,week_period,hour_sin,hour_cos,is_night,is_late_night,night_score,time_segment,category_score,category_type,is_hedonic_category,amount_log,amount_z,amount_score,amount_percentile,is_high_amount,user_proxy,transactions_same_day,daily_amount_total,share_of_daily_spend,amount_vs_weekly_avg,budget_limit,spent_so_far,budget_remaining_ratio,weekend_score,fingo_impulse_signal,signal_band,label
ecommerce_sales,2025-02-12 10:54:00,2025,2,2025-02,Sales,Belanja,16000.0,Kartu Kredit/Debit,Selesai,ecommerce_sales_clean.csv,ecommerce_sales,10,2,Wednesday,12,2025-02,2025-02-12,0,7,0.4999999999999999,-0.8660254037844387,0,0,0.1666666666666666,morning,1.0,hedonic,1,9.680406499268877,-0.5222047442625788,0.4129658759562368,0.1805280528052805,0,ecommerce_sales_unknown_unknown,1754,101543099.0,0.0001575685611092,0.2793579584351394,1392395.8305830583,68511815.0,0.0,0.0,0.4615748023223925,low,AMAN
daily_household,2015-03-06 00:00:00,2015,3,2015-03,Expense,Transportasi,1830.0,Cash,Expense,daily_household_transactions_clean.csv,daily_household,0,4,Friday,6,2015-03,2015-03-06,0,10,0.0,1.0,0,1,1.0,late_night,0.5,neutral,0,7.5126175446745105,-0.7141764705881893,0.3809705882353018,0.0375203915171288,0,daily_household_unknown_unknown,3,8235.0,0.2222222222221952,0.0182531381707798,12617743.237561176,3613518.0,0.7136161410193317,0.0,0.5952426470588255,watch,PERTIMBANGAN
daily_household,2018-04-15 14:40:08,2018,4,2018-04,Expense,Transportasi,1830.0,Cash,Expense,daily_household_transactions_clean.csv,daily_household,14,6,Sunday,15,2018-04,2018-04-15,1,15,-0.4999999999999997,-0.8660254037844388,0,0,0.1666666666666666,midday,0.5,neutral,0,7.5126175446745105,-0.7141764705881893,0.3809705882353018,0.0375203915171288,0,daily_household_unknown_unknown,7,277062.0,0.0066050198150594,0.0140934395039108,12617743.237561176,4935144.0,0.6088726876840543,1.0,0.4035759803921588,low,AMAN
ecommerce_sales,2025-02-12 10:54:00,2025,2,2025-02,Sales,Belanja,37296.0,COD (Bayar di Tempat),Selesai,ecommerce_sales_clean.csv,ecommerce_sales,10,2,Wednesday,12,2025-02,2025-02-12,0,7,0.4999999999999999,-0.8660254037844387,0,0,0.1666666666666666,morning,1.0,hedonic,1,10.526668173442902,0.956044921271899,0.6593408202119831,0.6895489548954895,0,ecommerce_sales_unknown_unknown,1754,101543099.0,0.0003672923159455,0.65118340111231,1392395.8305830583,30925516.0,0.0,0.0,0.523168538386329,watch,PERTIMBANGAN
ecommerce_sales,2025-02-03 13:14:00,2025,2,2025-02,Sales,Belanja,47460.0,SPayLater,Selesai,ecommerce_sales_clean.csv,ecommerce_sales,13,0,Monday,3,2025-02,2025-02-03,0,6,-0.2588190451025208,-0.9659258262890684,0,0,0.0833333333333333,midday,1.0,hedonic,1,10.76766360014283,1.6615731707315362,0.7769288617885893,0.7644664466446645,0,ecommerce_sales_unknown_unknown,41,2200143.0,0.0215713251365933,0.6475403665498427,1392395.8305830583,914540.0,0.3431896448461486,0.0,0.523398882113814,watch,PERTIMBANGAN
ecommerce_sales,2025-02-15 15:50:00,2025,2,2025-02,Sales,Belanja,71112.0,Online Payment,Selesai,ecommerce_sales_clean.csv,ecommerce_sales,15,5,Saturday,15,2025-02,2025-02-15,1,7,-0.7071067811865471,-0.7071067811865479,0,0,0.25,midday,1.0,hedonic,1,11.17202544014686,3.0,1.0,0.856985698569857,0,ecommerce_sales_unknown_unknown,18,978449.0,0.0726782898239968,1.2416064462649772,1392395.8305830583,107993811.0,0.0,1.0,0.7374999999999999,high,IMPULSIF
daily_household,2017-03-13 21:46:14,2017,3,2017-03,Expense,Lainnya,73200.0,Cash,Expense,daily_household_transactions_clean.csv,daily_household,21,0,Monday,13,2017-03,2017-03-13,0,11,-0.7071067811865477,0.7071067811865474,1,0,0.75,night,0.5,neutral,0,11.200964361058276,2.3805882352939647,0.8967647058823275,0.6945350734094616,0,daily_household_unknown_unknown,4,402600.0,0.1818181818181813,0.901774597484196,12617743.237561176,1237921.8,0.9018903953985296,0.0,0.6366911764705818,watch,PERTIMBANGAN
daily_household,2018-08-13 18:35:18,2018,8,2018-08,Expense,Makanan,8235.0,Cash,Expense,daily_household_transactions_clean.csv,daily_household,18,0,Monday,13,2018-08,2018-08-13,0,33,-1.0,-1.8369701987210294e-16,0,0,0.5,evening,0.5,neutral,0,9.01627006814768,-0.4364411764705601,0.4272598039215733,0.3219820554649266,0,daily_household_unknown_unknown,8,2010987.0,0.004095004095004,0.0870371832320193,12617743.237561176,4310931.0,0.6583437371615718,0.0,0.4318149509803933,low,AMAN
ecommerce_sales,2025-02-12 10:54:00,2025,2,2025-02,Sales,Belanja,21592.0,COD (Bayar di Tempat),Selesai,ecommerce_sales_clean.csv,ecommerce_sales,10,2,Wednesday,12,2025-02,2025-02-12,0,7,0.4999999999999999,-0.8660254037844387,0,0,0.1666666666666666,morning,1.0,hedonic,1,9.980124467074832,-0.1340392610887996,0.4776601231518667,0.4454345434543454,0,ecommerce_sales_unknown_unknown,1754,101543099.0,0.0002126387732168,0.3769935649082206,1392395.8305830583,60689094.0,0.0,0.0,0.4777483641212999,low,AMAN
ecommerce_sales,2024-01-31 19:31:00,2024,1,2024-01,Sales,Belanja,60000.0,Online Payment,Selesai,ecommerce_sales_clean.csv,ecommerce_sales,19,2,Wednesday,31,2024-01,2024-01-31,0,5,-0.9659258262890684,0.2588190451025203,0,0,0.5833333333333333,evening,1.0,hedonic,1,11.002116507732016,2.5320301018830365,0.922005016980506,0.8258525852585259,0,ecommerce_sales_unknown_unknown,10,652509.0,0.091952754674648,1.5732483804002593,1392395.8305830583,1445378.0,0.0,0.0,0.7346679209117931,high,IMPULSIF
